,blueWin,blueGold,blueExp,blueLvl,blueCS,blueJngCS,blueVisionScore,blueTowerScore,blueDrakeScore,blueHeraldScore,blueBaronScore,blueKillScore,blueDeathScore,blueAssistScore,redGold,redExp,redLvl,redCS,redJngCS,redVisionScore,redTowerScore,redDrakeScore,redHeraldScore,redBaronScore,redKillScore,redDeathScore,redAssistScore,blueExpDiff,blueLvlDiff,blueGoldDiff,blueDrakeDiff,blueBaronDiff,blueHeraldDiff
0,0.0,62807.0,73628.0,77.0,493.0,126.0,70.0,10.0,1.0,0.0,1.0,42.0,31.0,52.0,66040.0,80831.0,81.0,635.0,136.0,74.0,6.0,4.0,1.0,0.0,31.0,42.0,30.0,-7203.0,-4.0,-3233.0,-3.0,1.0,-1.0
1,1.0,74780.0,89071.0,81.0,666.0,286.0,54.0,8.0,4.0,0.0,2.0,39.0,45.0,40.0,69067.0,78785.0,80.0,615.0,142.0,150.0,5.0,1.0,1.0,0.0,45.0,39.0,77.0,10286.0,1.0,5713.0,3.0,2.0,-1.0
2,1.0,64379.0,78214.0,79.0,558.0,150.0,82.0,10.0,3.0,1.0,1.0,39.0,33.0,63.0,61720.0,66587.0,73.0,590.0,187.0,221.0,4.0,2.0,1.0,0.0,33.0,39.0,28.0,11627.0,6.0,2659.0,1.0,1.0,0.0
3,0.0,70811.0,89262.0,85.0,653.0,185.0,85.0,7.0,3.0,1.0,1.0,46.0,36.0,62.0,70478.0,82703.0,81.0,707.0,234.0,88.0,4.0,3.0,1.0,1.0,36.0,46.0,40.0,6559.0,4.0,333.0,0.0,0.0,0.0
4,0.0,69017.0,78945.0,82.0,506.0,136.0,44.0,6.0,1.0,1.0,1.0,49.0,56.0,46.0,66775.0,75619.0,78.0,475.0,114.0,731.0,4.0,3.0,0.0,0.0,56.0,49.0,67.0,3326.0,4.0,2242.0,-2.0,1.0,1.0
5,0.0,57405.0,71021.0,75.0,637.0,175.0,60.0,4.0,2.0,0.0,0.0,27.0,27.0,20.0,58787.0,76055.0,79.0,588.0,187.0,52.0,3.0,3.0,1.0,0.0,27.0,27.0,33.0,-5034.0,-4.0,-1382.0,-1.0,0.0,-1.0
6,0.0,59442.0,69396.0,76.0,693.0,230.0,120.0,7.0,4.0,1.0,1.0,19.0,38.0,22.0,64920.0,74706.0,78.0,651.0,151.0,706.0,5.0,2.0,1.0,0.0,38.0,19.0,70.0,-5310.0,-2.0,-5478.0,2.0,1.0,0.0
7,0.0,66861.0,82359.0,82.0,654.0,162.0,49.0,7.0,1.0,0.0,0.0,40.0,53.0,39.0,70709.0,84353.0,83.0,580.0,164.0,138.0,5.0,4.0,1.0,0.0,53.0,40.0,61.0,-1994.0,-1.0,-3848.0,-3.0,0.0,-1.0
8,0.0,70950.0,82287.0,81.0,534.0,210.0,40.0,10.0,3.0,2.0,0.0,54.0,39.0,61.0,67879.0,80163.0,81.0,581.0,143.0,54.0,3.0,2.0,0.0,0.0,39.0,54.0,47.0,2124.0,0.0,3071.0,1.0,0.0,2.0
9,0.0,62682.0,80029.0,81.0,631.0,125.0,189.0,4.0,2.0,0.0,0.0,35.0,45.0,53.0,76316.0,91240.0,87.0,741.0,262.0,78.0,9.0,4.0,2.0,2.0,45.0,35.0,54.0,-11211.0,-6.0,-13634.0,-2.0,-2.0,-2.0
10,0.0,67063.0,82088.0,82.0,591.0,138.0,52.0,6.0,1.0,0.0,0.0,41.0,45.0,57.0,68093.0,77155.0,79.0,603.0,207.0,460.0,3.0,4.0,2.0,0.0,45.0,41.0,50.0,4933.0,3.0,-1030.0,-3.0,0.0,-2.0
11,0.0,64916.0,71304.0,76.0,529.0,116.0,104.0,7.0,3.0,1.0,0.0,45.0,43.0,59.0,65352.0,74211.0,78.0,502.0,152.0,144.0,2.0,1.0,1.0,1.0,43.0,45.0,59.0,-2907.0,-2.0,-436.0,2.0,-1.0,0.0
12,1.0,72622.0,93407.0,85.0,768.0,202.0,172.0,5.0,4.0,1.0,1.0,39.0,43.0,55.0,71608.0,87727.0,84.0,709.0,253.0,187.0,6.0,1.0,0.0,1.0,43.0,39.0,44.0,5680.0,1.0,1014.0,3.0,0.0,1.0
13,0.0,70151.0,86947.0,85.0,655.0,88.0,68.0,6.0,0.0,1.0,0.0,49.0,54.0,90.0,74715.0,84471.0,84.0,543.0,249.0,60.0,7.0,5.0,1.0,1.0,54.0,49.0,57.0,2476.0,1.0,-4564.0,-5.0,-1.0,0.0
14,0.0,68220.0,78642.0,79.0,594.0,144.0,181.0,7.0,2.0,0.0,0.0,40.0,47.0,54.0,72647.0,88038.0,86.0,581.0,212.0,112.0,6.0,3.0,1.0,1.0,47.0,40.0,57.0,-9396.0,-7.0,-4427.0,-1.0,-1.0,-1.0
15,0.0,63235.0,74768.0,78.0,487.0,187.0,64.0,5.0,2.0,1.0,1.0,40.0,39.0,44.0,64135.0,73212.0,78.0,482.0,123.0,56.0,6.0,3.0,0.0,1.0,39.0,40.0,62.0,1556.0,0.0,-900.0,-1.0,0.0,1.0
