,blueWin,blueGold,blueExp,blueLvl,blueCS,blueJngCS,blueVisionScore,blueTowerScore,blueDrakeScore,blueHeraldScore,blueBaronScore,blueKillScore,blueDeathScore,blueAssistScore,redGold,redExp,redLvl,redCS,redJngCS,redVisionScore,redTowerScore,redDrakeScore,redHeraldScore,redBaronScore,redKillScore,redDeathScore,redAssistScore,blueExpDiff,blueLvlDiff,blueGoldDiff,blueDrakeDiff,blueBaronDiff,blueHeraldDiff
0,0.0,52035.0,55803.0,66.0,484.0,84.0,51.0,5.0,0.0,1.0,0.0,31.0,42.0,27.0,55758.0,66881.0,74.0,525.0,162.0,88.0,2.0,3.0,0.0,0.0,42.0,31.0,31.0,-11078.0,-8.0,-3723.0,-3.0,0.0,1.0
1,0.0,49024.0,58659.0,69.0,447.0,95.0,51.0,4.0,1.0,0.0,0.0,27.0,20.0,32.0,45014.0,49335.0,62.0,472.0,114.0,55.0,6.0,3.0,1.0,0.0,20.0,27.0,12.0,9324.0,7.0,4010.0,-2.0,0.0,-1.0
2,0.0,54575.0,62785.0,71.0,445.0,142.0,55.0,4.0,1.0,1.0,1.0,39.0,32.0,45.0,52563.0,57364.0,68.0,485.0,138.0,479.0,5.0,3.0,0.0,0.0,32.0,39.0,41.0,5421.0,3.0,2012.0,-2.0,1.0,1.0
3,0.0,42737.0,47320.0,61.0,426.0,91.0,69.0,2.0,1.0,1.0,0.0,25.0,32.0,29.0,53835.0,64781.0,72.0,470.0,162.0,106.0,3.0,3.0,0.0,0.0,32.0,25.0,38.0,-17461.0,-11.0,-11098.0,-2.0,0.0,1.0
4,0.0,51718.0,57839.0,69.0,457.0,139.0,55.0,5.0,2.0,0.0,1.0,33.0,30.0,40.0,51697.0,58363.0,68.0,446.0,152.0,43.0,4.0,2.0,2.0,0.0,30.0,33.0,46.0,-524.0,1.0,21.0,0.0,1.0,-2.0
5,1.0,47867.0,56053.0,67.0,508.0,141.0,61.0,4.0,1.0,0.0,0.0,23.0,20.0,28.0,47683.0,54095.0,65.0,555.0,130.0,53.0,6.0,3.0,2.0,0.0,20.0,23.0,22.0,1958.0,2.0,184.0,-2.0,0.0,-2.0
6,1.0,56714.0,65406.0,73.0,528.0,234.0,38.0,6.0,3.0,0.0,1.0,30.0,33.0,31.0,54788.0,59915.0,70.0,495.0,138.0,106.0,5.0,1.0,1.0,0.0,33.0,30.0,51.0,5491.0,3.0,1926.0,2.0,1.0,-1.0
7,1.0,48092.0,56056.0,66.0,443.0,109.0,55.0,6.0,2.0,1.0,0.0,23.0,30.0,39.0,53076.0,57745.0,67.0,519.0,144.0,163.0,2.0,2.0,1.0,0.0,30.0,23.0,26.0,-1689.0,-1.0,-4984.0,0.0,0.0,0.0
8,0.0,51475.0,60578.0,70.0,528.0,123.0,63.0,5.0,1.0,1.0,0.0,29.0,29.0,37.0,56066.0,65391.0,72.0,619.0,184.0,63.0,4.0,3.0,1.0,1.0,29.0,29.0,32.0,-4813.0,-2.0,-4591.0,-2.0,-1.0,0.0
9,0.0,50818.0,54030.0,64.0,400.0,109.0,32.0,5.0,1.0,1.0,0.0,38.0,45.0,33.0,52842.0,58732.0,68.0,401.0,84.0,629.0,3.0,1.0,0.0,0.0,45.0,38.0,53.0,-4702.0,-4.0,-2024.0,0.0,0.0,1.0
10,0.0,48497.0,56236.0,66.0,438.0,120.0,39.0,6.0,2.0,2.0,0.0,27.0,37.0,28.0,53620.0,61723.0,71.0,478.0,126.0,100.0,2.0,2.0,0.0,0.0,37.0,27.0,52.0,-5487.0,-5.0,-5123.0,0.0,0.0,2.0
11,0.0,43855.0,53796.0,64.0,509.0,122.0,42.0,3.0,1.0,0.0,0.0,20.0,17.0,13.0,42957.0,54764.0,65.0,469.0,124.0,38.0,3.0,2.0,1.0,0.0,17.0,20.0,17.0,-968.0,-1.0,898.0,-1.0,0.0,-1.0
12,1.0,51101.0,58117.0,68.0,527.0,204.0,41.0,6.0,3.0,1.0,0.0,28.0,26.0,25.0,46014.0,55279.0,66.0,442.0,143.0,47.0,1.0,0.0,0.0,0.0,26.0,28.0,38.0,2838.0,2.0,5087.0,3.0,0.0,1.0
13,1.0,52876.0,56796.0,67.0,449.0,186.0,88.0,7.0,3.0,1.0,0.0,31.0,23.0,35.0,44279.0,50778.0,63.0,443.0,80.0,115.0,0.0,0.0,0.0,0.0,23.0,31.0,28.0,6018.0,4.0,8597.0,3.0,0.0,1.0
14,0.0,47357.0,54852.0,65.0,548.0,190.0,90.0,5.0,3.0,1.0,0.0,14.0,26.0,18.0,49081.0,53595.0,64.0,499.0,88.0,545.0,4.0,1.0,1.0,0.0,26.0,14.0,40.0,1257.0,1.0,-1724.0,2.0,0.0,0.0
15,1.0,61155.0,62419.0,70.0,511.0,131.0,47.0,9.0,4.0,1.0,0.0,43.0,48.0,31.0,55615.0,59811.0,69.0,395.0,96.0,115.0,1.0,0.0,0.0,0.0,48.0,43.0,49.0,2608.0,1.0,5540.0,4.0,0.0,1.0
16,0.0,41666.0,50095.0,63.0,440.0,91.0,54.0,4.0,1.0,0.0,0.0,18.0,33.0,21.0,56661.0,66188.0,73.0,470.0,175.0,51.0,6.0,3.0,2.0,1.0,33.0,18.0,43.0,-16093.0,-10.0,-14995.0,-2.0,-1.0,-2.0
17,0.0,48765.0,52225.0,64.0,322.0,86.0,34.0,6.0,2.0,0.0,0.0,32.0,35.0,47.0,50681.0,53105.0,65.0,336.0,143.0,56.0,3.0,2.0,2.0,0.0,35.0,32.0,46.0,-880.0,-1.0,-1916.0,0.0,0.0,-2.0
18,0.0,46105.0,57591.0,68.0,442.0,105.0,38.0,4.0,1.0,2.0,0.0,26.0,37.0,31.0,55130.0,64392.0,72.0,555.0,155.0,58.0,3.0,3.0,0.0,0.0,37.0,26.0,36.0,-6801.0,-4.0,-9025.0,-2.0,0.0,2.0
19,1.0,53156.0,58285.0,69.0,506.0,169.0,63.0,6.0,4.0,2.0,0.0,33.0,17.0,39.0,44347.0,52835.0,65.0,524.0,114.0,67.0,1.0,0.0,0.0,0.0,17.0,33.0,21.0,5450.0,4.0,8809.0,4.0,0.0,2.0
20,0.0,45593.0,53108.0,64.0,461.0,64.0,40.0,4.0,0.0,2.0,0.0,27.0,36.0,21.0,56692.0,65318.0,71.0,511.0,149.0,92.0,5.0,2.0,0.0,0.0,36.0,27.0,32.0,-12210.0,-7.0,-11099.0,-2.0,0.0,2.0
21,0.0,56853.0,63807.0,72.0,467.0,153.0,179.0,6.0,2.0,0.0,0.0,36.0,39.0,67.0,60962.0,66117.0,74.0,576.0,155.0,63.0,5.0,2.0,1.0,1.0,39.0,36.0,48.0,-2310.0,-2.0,-4109.0,0.0,-1.0,-1.0
22,1.0,58076.0,73524.0,77.0,520.0,147.0,73.0,7.0,1.0,1.0,1.0,40.0,30.0,57.0,52766.0,58884.0,69.0,581.0,125.0,171.0,4.0,3.0,1.0,0.0,30.0,40.0,20.0,14640.0,8.0,5310.0,-2.0,1.0,0.0
23,0.0,49310.0,56799.0,68.0,500.0,123.0,35.0,6.0,1.0,0.0,0.0,26.0,42.0,18.0,55136.0,64367.0,72.0,485.0,124.0,93.0,3.0,2.0,1.0,0.0,42.0,26.0,43.0,-7568.0,-4.0,-5826.0,-1.0,0.0,-1.0
24,0.0,43804.0,51675.0,64.0,505.0,114.0,60.0,2.0,1.0,1.0,0.0,21.0,30.0,20.0,53816.0,62944.0,71.0,473.0,170.0,299.0,5.0,2.0,1.0,0.0,30.0,21.0,45.0,-11269.0,-7.0,-10012.0,-1.0,0.0,0.0
25,0.0,53788.0,63070.0,71.0,467.0,144.0,29.0,6.0,2.0,2.0,0.0,34.0,29.0,32.0,51241.0,55441.0,66.0,473.0,127.0,42.0,3.0,2.0,0.0,0.0,29.0,34.0,31.0,7629.0,5.0,2547.0,0.0,0.0,2.0
26,0.0,49541.0,62183.0,70.0,486.0,117.0,142.0,2.0,1.0,0.0,0.0,27.0,32.0,39.0,55876.0,62117.0,70.0,578.0,198.0,61.0,5.0,3.0,2.0,1.0,32.0,27.0,34.0,66.0,0.0,-6335.0,-2.0,-1.0,-2.0
27,0.0,47613.0,53970.0,64.0,452.0,98.0,43.0,4.0,1.0,0.0,0.0,25.0,34.0,29.0,53248.0,60205.0,68.0,484.0,167.0,376.0,3.0,2.0,2.0,0.0,34.0,25.0,38.0,-6235.0,-4.0,-5635.0,-1.0,0.0,-2.0
28,0.0,50237.0,53972.0,64.0,455.0,92.0,81.0,4.0,2.0,1.0,0.0,35.0,29.0,44.0,48172.0,51423.0,63.0,418.0,116.0,103.0,2.0,1.0,1.0,0.0,29.0,35.0,35.0,2549.0,1.0,2065.0,1.0,0.0,0.0
29,1.0,56265.0,65436.0,73.0,615.0,162.0,61.0,5.0,2.0,1.0,0.0,31.0,22.0,31.0,45513.0,55456.0,66.0,467.0,112.0,42.0,1.0,2.0,0.0,0.0,22.0,31.0,38.0,9980.0,7.0,10752.0,0.0,0.0,1.0
30,1.0,54186.0,64576.0,72.0,563.0,146.0,131.0,5.0,3.0,1.0,0.0,25.0,38.0,32.0,58352.0,70333.0,75.0,560.0,186.0,136.0,4.0,1.0,0.0,1.0,38.0,25.0,38.0,-5757.0,-3.0,-4166.0,2.0,-1.0,1.0
31,1.0,50459.0,56686.0,67.0,524.0,112.0,59.0,4.0,2.0,0.0,0.0,24.0,32.0,37.0,48675.0,53649.0,65.0,452.0,138.0,125.0,4.0,2.0,2.0,0.0,32.0,24.0,42.0,3037.0,2.0,1784.0,0.0,0.0,-2.0
32,1.0,54208.0,64583.0,72.0,477.0,192.0,50.0,7.0,4.0,1.0,0.0,33.0,22.0,36.0,48932.0,56609.0,67.0,557.0,131.0,38.0,2.0,0.0,0.0,0.0,22.0,33.0,23.0,7974.0,5.0,5276.0,4.0,0.0,1.0
33,0.0,51935.0,62010.0,69.0,579.0,104.0,63.0,4.0,1.0,1.0,0.0,28.0,40.0,31.0,58641.0,65550.0,72.0,516.0,146.0,75.0,7.0,3.0,1.0,1.0,40.0,28.0,60.0,-3540.0,-3.0,-6706.0,-2.0,-1.0,0.0
34,0.0,52826.0,58905.0,68.0,450.0,71.0,52.0,4.0,0.0,1.0,0.0,36.0,44.0,57.0,57384.0,60069.0,69.0,451.0,192.0,46.0,6.0,4.0,1.0,0.0,44.0,36.0,44.0,-1164.0,-1.0,-4558.0,-4.0,0.0,0.0
35,1.0,57144.0,71878.0,77.0,408.0,129.0,55.0,5.0,2.0,1.0,1.0,41.0,37.0,61.0,56618.0,64865.0,72.0,567.0,153.0,72.0,3.0,1.0,1.0,0.0,37.0,41.0,25.0,7013.0,5.0,526.0,1.0,1.0,0.0
36,0.0,49000.0,59145.0,69.0,478.0,107.0,66.0,5.0,0.0,1.0,0.0,24.0,53.0,30.0,58326.0,65926.0,72.0,433.0,149.0,53.0,3.0,4.0,0.0,0.0,53.0,24.0,70.0,-6781.0,-3.0,-9326.0,-4.0,0.0,1.0
37,0.0,49411.0,53842.0,66.0,416.0,110.0,127.0,5.0,1.0,0.0,0.0,30.0,35.0,36.0,55157.0,62632.0,71.0,425.0,147.0,82.0,3.0,2.0,1.0,0.0,35.0,30.0,47.0,-8790.0,-5.0,-5746.0,-1.0,0.0,-1.0
38,1.0,58575.0,63101.0,71.0,561.0,143.0,65.0,10.0,1.0,1.0,1.0,37.0,24.0,43.0,47767.0,56232.0,67.0,475.0,112.0,577.0,1.0,2.0,1.0,0.0,24.0,37.0,27.0,6869.0,4.0,10808.0,-1.0,1.0,0.0
39,0.0,50047.0,61539.0,70.0,580.0,155.0,171.0,4.0,1.0,2.0,0.0,21.0,33.0,30.0,58321.0,67342.0,74.0,582.0,198.0,67.0,6.0,3.0,0.0,1.0,33.0,21.0,48.0,-5803.0,-4.0,-8274.0,-2.0,-1.0,2.0
40,0.0,48474.0,55779.0,66.0,458.0,136.0,51.0,2.0,2.0,1.0,0.0,33.0,37.0,37.0,56251.0,65255.0,73.0,479.0,144.0,152.0,4.0,2.0,1.0,1.0,37.0,33.0,48.0,-9476.0,-7.0,-7777.0,0.0,-1.0,0.0
41,0.0,49097.0,53961.0,65.0,373.0,135.0,46.0,4.0,1.0,1.0,0.0,32.0,32.0,26.0,51125.0,60240.0,69.0,399.0,107.0,41.0,4.0,3.0,0.0,1.0,32.0,32.0,44.0,-6279.0,-4.0,-2028.0,-2.0,-1.0,1.0
42,1.0,57330.0,72222.0,77.0,511.0,187.0,200.0,6.0,3.0,1.0,0.0,35.0,29.0,40.0,50546.0,58242.0,68.0,529.0,134.0,74.0,0.0,0.0,0.0,0.0,29.0,35.0,29.0,13980.0,9.0,6784.0,3.0,0.0,1.0
43,1.0,55318.0,65396.0,73.0,529.0,153.0,98.0,3.0,3.0,0.0,1.0,33.0,23.0,61.0,51325.0,56862.0,68.0,481.0,163.0,64.0,5.0,1.0,1.0,0.0,23.0,33.0,27.0,8534.0,5.0,3993.0,2.0,1.0,-1.0
44,0.0,44406.0,52839.0,65.0,469.0,136.0,51.0,5.0,1.0,0.0,0.0,20.0,30.0,20.0,50900.0,58574.0,68.0,495.0,171.0,61.0,3.0,3.0,1.0,0.0,30.0,20.0,25.0,-5735.0,-3.0,-6494.0,-2.0,0.0,-1.0
45,0.0,43574.0,50789.0,64.0,460.0,106.0,42.0,2.0,1.0,1.0,0.0,23.0,35.0,20.0,53051.0,64120.0,71.0,525.0,139.0,54.0,9.0,3.0,1.0,0.0,35.0,23.0,22.0,-13331.0,-7.0,-9477.0,-2.0,0.0,0.0
46,0.0,53111.0,63361.0,71.0,406.0,92.0,45.0,4.0,1.0,1.0,0.0,39.0,38.0,55.0,56748.0,62228.0,71.0,481.0,109.0,44.0,6.0,3.0,1.0,1.0,38.0,39.0,31.0,1133.0,0.0,-3637.0,-2.0,-1.0,0.0
47,1.0,47601.0,54291.0,64.0,407.0,113.0,49.0,3.0,2.0,1.0,0.0,29.0,29.0,51.0,53380.0,56347.0,68.0,520.0,144.0,47.0,4.0,2.0,1.0,0.0,29.0,29.0,25.0,-2056.0,-4.0,-5779.0,0.0,0.0,0.0
48,0.0,48556.0,60184.0,70.0,486.0,121.0,59.0,2.0,0.0,1.0,0.0,27.0,38.0,17.0,55130.0,64682.0,72.0,527.0,160.0,53.0,4.0,3.0,1.0,0.0,38.0,27.0,23.0,-4498.0,-2.0,-6574.0,-3.0,0.0,0.0
49,0.0,49402.0,60273.0,70.0,602.0,137.0,122.0,4.0,0.0,1.0,0.0,22.0,26.0,26.0,51365.0,61210.0,70.0,590.0,211.0,137.0,2.0,4.0,1.0,0.0,26.0,22.0,33.0,-937.0,0.0,-1963.0,-4.0,0.0,0.0
50,1.0,46709.0,55443.0,66.0,470.0,135.0,46.0,4.0,3.0,0.0,0.0,20.0,28.0,41.0,50869.0,55553.0,67.0,534.0,166.0,62.0,2.0,1.0,1.0,0.0,28.0,20.0,45.0,-110.0,-1.0,-4160.0,2.0,0.0,-1.0
51,1.0,50235.0,58656.0,68.0,547.0,139.0,369.0,5.0,3.0,1.0,0.0,28.0,11.0,33.0,41159.0,51685.0,64.0,504.0,126.0,54.0,1.0,1.0,1.0,0.0,11.0,28.0,12.0,6971.0,4.0,9076.0,2.0,0.0,0.0
52,1.0,56031.0,63245.0,71.0,494.0,185.0,62.0,7.0,4.0,1.0,0.0,39.0,30.0,29.0,48871.0,57825.0,68.0,462.0,84.0,44.0,1.0,0.0,0.0,0.0,30.0,39.0,39.0,5420.0,3.0,7160.0,4.0,0.0,1.0
53,0.0,54383.0,61160.0,69.0,545.0,182.0,66.0,7.0,4.0,2.0,0.0,30.0,28.0,31.0,50232.0,62344.0,71.0,468.0,104.0,54.0,3.0,0.0,0.0,1.0,28.0,30.0,39.0,-1184.0,-2.0,4151.0,4.0,-1.0,2.0
54,0.0,50458.0,59554.0,69.0,539.0,140.0,49.0,7.0,3.0,1.0,0.0,31.0,34.0,30.0,55447.0,66735.0,74.0,448.0,174.0,173.0,1.0,1.0,0.0,1.0,34.0,31.0,46.0,-7181.0,-5.0,-4989.0,2.0,-1.0,1.0
55,0.0,43521.0,51629.0,64.0,474.0,158.0,84.0,2.0,0.0,0.0,0.0,20.0,28.0,22.0,53597.0,62006.0,71.0,604.0,167.0,64.0,5.0,3.0,1.0,0.0,28.0,20.0,33.0,-10377.0,-7.0,-10076.0,-3.0,0.0,-1.0
56,0.0,51082.0,55070.0,66.0,432.0,127.0,304.0,4.0,3.0,2.0,0.0,33.0,41.0,24.0,55414.0,61452.0,69.0,487.0,170.0,48.0,3.0,0.0,0.0,0.0,41.0,33.0,33.0,-6382.0,-3.0,-4332.0,3.0,0.0,2.0
