,blueWin,blueGold,blueExp,blueLvl,blueCS,blueJngCS,blueVisionScore,blueTowerScore,blueDrakeScore,blueHeraldScore,blueBaronScore,blueKillScore,blueDeathScore,blueAssistScore,redGold,redExp,redLvl,redCS,redJngCS,redVisionScore,redTowerScore,redDrakeScore,redHeraldScore,redBaronScore,redKillScore,redDeathScore,redAssistScore,blueExpDiff,blueLvlDiff,blueGoldDiff,blueDrakeDiff,blueBaronDiff,blueHeraldDiff
0,0.0,54700.0,58769.0,67.0,494.0,84.0,51.0,5.0,0.0,1.0,0.0,32.0,45.0,27.0,58501.0,69238.0,76.0,542.0,162.0,90.0,2.0,3.0,0.0,0.0,45.0,32.0,36.0,-10469.0,-9.0,-3801.0,-3.0,0.0,1.0
1,0.0,50365.0,61129.0,70.0,456.0,114.0,53.0,4.0,1.0,0.0,1.0,30.0,20.0,36.0,46025.0,50725.0,62.0,487.0,116.0,56.0,6.0,3.0,1.0,0.0,20.0,30.0,12.0,10404.0,8.0,4340.0,-2.0,1.0,-1.0
2,0.0,55380.0,63377.0,71.0,451.0,142.0,57.0,4.0,2.0,1.0,1.0,40.0,32.0,45.0,56134.0,62467.0,71.0,498.0,144.0,482.0,6.0,3.0,0.0,0.0,32.0,40.0,41.0,910.0,0.0,-754.0,-1.0,1.0,1.0
3,0.0,43094.0,47320.0,61.0,426.0,91.0,72.0,3.0,1.0,1.0,0.0,25.0,38.0,29.0,55870.0,66159.0,73.0,478.0,162.0,107.0,4.0,3.0,0.0,1.0,38.0,25.0,42.0,-18839.0,-12.0,-12776.0,-2.0,-1.0,1.0
4,0.0,53786.0,60809.0,70.0,468.0,151.0,59.0,5.0,2.0,0.0,1.0,33.0,30.0,40.0,54155.0,61560.0,70.0,459.0,160.0,46.0,5.0,2.0,2.0,0.0,30.0,33.0,46.0,-751.0,0.0,-369.0,0.0,1.0,-2.0
5,1.0,51093.0,61335.0,71.0,529.0,149.0,66.0,4.0,1.0,0.0,0.0,24.0,20.0,29.0,49614.0,55854.0,66.0,562.0,130.0,57.0,6.0,3.0,2.0,0.0,20.0,24.0,22.0,5481.0,5.0,1479.0,-2.0,0.0,-2.0
6,1.0,58777.0,68036.0,73.0,546.0,238.0,40.0,6.0,3.0,0.0,1.0,30.0,35.0,31.0,56578.0,62787.0,71.0,509.0,138.0,113.0,5.0,1.0,1.0,0.0,35.0,30.0,54.0,5249.0,2.0,2199.0,2.0,1.0,-1.0
7,1.0,51764.0,62064.0,71.0,453.0,128.0,58.0,7.0,2.0,1.0,0.0,27.0,32.0,43.0,54123.0,58859.0,68.0,528.0,152.0,172.0,3.0,2.0,1.0,0.0,32.0,27.0,27.0,3205.0,3.0,-2359.0,0.0,0.0,0.0
8,0.0,54294.0,64522.0,71.0,540.0,140.0,63.0,5.0,1.0,1.0,0.0,30.0,30.0,37.0,57695.0,66670.0,73.0,634.0,196.0,64.0,4.0,3.0,1.0,1.0,30.0,30.0,32.0,-2148.0,-2.0,-3401.0,-2.0,-1.0,0.0
9,0.0,52357.0,56478.0,67.0,406.0,109.0,32.0,6.0,1.0,1.0,0.0,38.0,45.0,33.0,54887.0,61058.0,70.0,405.0,88.0,632.0,3.0,2.0,0.0,0.0,45.0,38.0,53.0,-4580.0,-3.0,-2530.0,-1.0,0.0,1.0
10,0.0,50531.0,59384.0,69.0,452.0,124.0,41.0,6.0,2.0,2.0,0.0,27.0,37.0,28.0,56405.0,65202.0,72.0,487.0,130.0,106.0,3.0,2.0,0.0,0.0,37.0,27.0,52.0,-5818.0,-3.0,-5874.0,0.0,0.0,2.0
11,0.0,46018.0,56536.0,67.0,525.0,122.0,44.0,3.0,1.0,0.0,0.0,20.0,19.0,13.0,44348.0,56179.0,66.0,487.0,132.0,40.0,3.0,3.0,1.0,0.0,19.0,20.0,24.0,357.0,1.0,1670.0,-2.0,0.0,-1.0
12,1.0,54202.0,61634.0,70.0,541.0,212.0,44.0,6.0,4.0,1.0,0.0,29.0,26.0,28.0,46727.0,55605.0,66.0,447.0,143.0,50.0,1.0,0.0,0.0,0.0,26.0,29.0,38.0,6029.0,4.0,7475.0,4.0,0.0,1.0
13,1.0,54410.0,58562.0,68.0,451.0,191.0,90.0,8.0,3.0,1.0,0.0,33.0,26.0,36.0,46448.0,53989.0,65.0,456.0,80.0,122.0,0.0,0.0,0.0,0.0,26.0,33.0,32.0,4573.0,3.0,7962.0,3.0,0.0,1.0
14,0.0,49373.0,57594.0,67.0,571.0,202.0,92.0,5.0,3.0,1.0,1.0,15.0,29.0,19.0,51008.0,56327.0,67.0,513.0,104.0,549.0,4.0,1.0,1.0,0.0,29.0,15.0,51.0,1267.0,0.0,-1635.0,2.0,1.0,0.0
15,1.0,63200.0,65528.0,72.0,526.0,135.0,47.0,11.0,4.0,1.0,0.0,48.0,50.0,31.0,55929.0,59872.0,69.0,395.0,96.0,116.0,1.0,0.0,0.0,0.0,50.0,48.0,52.0,5656.0,3.0,7271.0,4.0,0.0,1.0
