,blueWin,blueGold,blueExp,blueLvl,blueCS,blueJngCS,blueVisionScore,blueTowerScore,blueDrakeScore,blueHeraldScore,blueBaronScore,blueKillScore,blueDeathScore,blueAssistScore,redGold,redExp,redLvl,redCS,redJngCS,redVisionScore,redTowerScore,redDrakeScore,redHeraldScore,redBaronScore,redKillScore,redDeathScore,redAssistScore,blueExpDiff,blueLvlDiff,blueGoldDiff,blueDrakeDiff,blueBaronDiff,blueHeraldDiff
0,0.0,60279.0,67070.0,73.0,551.0,85.0,58.0,5.0,0.0,1.0,0.0,36.0,51.0,34.0,66064.0,80076.0,80.0,573.0,204.0,105.0,5.0,4.0,0.0,0.0,51.0,36.0,41.0,-13006.0,-7.0,-5785.0,-4.0,0.0,1.0
1,0.0,57460.0,68615.0,75.0,475.0,114.0,61.0,10.0,1.0,0.0,1.0,37.0,23.0,47.0,53636.0,60010.0,69.0,540.0,116.0,63.0,6.0,3.0,1.0,0.0,23.0,37.0,15.0,8605.0,6.0,3824.0,-2.0,1.0,-1.0
2,0.0,61268.0,72884.0,77.0,492.0,170.0,62.0,4.0,2.0,1.0,1.0,41.0,37.0,45.0,64511.0,73515.0,78.0,579.0,166.0,506.0,7.0,3.0,0.0,0.0,37.0,41.0,49.0,-631.0,-1.0,-3243.0,-1.0,1.0,1.0
3,0.0,59174.0,68771.0,76.0,558.0,151.0,66.0,6.0,2.0,0.0,1.0,34.0,32.0,42.0,61197.0,72630.0,77.0,496.0,192.0,59.0,6.0,2.0,2.0,1.0,32.0,34.0,49.0,-3859.0,-1.0,-2023.0,0.0,0.0,-2.0
4,1.0,60555.0,72706.0,77.0,581.0,181.0,73.0,5.0,2.0,0.0,0.0,32.0,23.0,43.0,54386.0,61805.0,70.0,607.0,138.0,63.0,7.0,3.0,2.0,0.0,23.0,32.0,28.0,10901.0,7.0,6169.0,-1.0,0.0,-2.0
5,1.0,66709.0,79783.0,78.0,604.0,262.0,46.0,6.0,4.0,0.0,2.0,37.0,40.0,37.0,60861.0,67274.0,75.0,537.0,142.0,122.0,5.0,1.0,1.0,0.0,40.0,37.0,63.0,12509.0,3.0,5848.0,3.0,2.0,-1.0
6,1.0,57842.0,70341.0,75.0,500.0,137.0,69.0,7.0,2.0,1.0,1.0,32.0,33.0,54.0,57403.0,61982.0,70.0,543.0,173.0,192.0,3.0,2.0,1.0,0.0,33.0,32.0,28.0,8359.0,5.0,439.0,0.0,1.0,0.0
7,0.0,63052.0,78827.0,81.0,584.0,157.0,76.0,6.0,2.0,1.0,1.0,37.0,31.0,49.0,62728.0,73313.0,75.0,674.0,218.0,80.0,4.0,3.0,1.0,1.0,31.0,37.0,32.0,5514.0,6.0,324.0,-1.0,0.0,0.0
8,0.0,60376.0,67145.0,74.0,464.0,125.0,36.0,6.0,1.0,1.0,0.0,44.0,50.0,43.0,59486.0,65611.0,72.0,422.0,92.0,672.0,4.0,2.0,0.0,0.0,50.0,44.0,58.0,1534.0,2.0,890.0,-1.0,0.0,1.0
9,0.0,50920.0,62431.0,70.0,575.0,146.0,49.0,3.0,1.0,0.0,0.0,24.0,19.0,17.0,49882.0,63364.0,71.0,558.0,148.0,46.0,3.0,3.0,1.0,0.0,19.0,24.0,24.0,-933.0,-1.0,1038.0,-2.0,0.0,-1.0
