,blueWin,blueGold,blueExp,blueLvl,blueCS,blueJngCS,blueVisionScore,blueTowerScore,blueDrakeScore,blueHeraldScore,blueBaronScore,blueKillScore,blueDeathScore,blueAssistScore,redGold,redExp,redLvl,redCS,redJngCS,redVisionScore,redTowerScore,redDrakeScore,redHeraldScore,redBaronScore,redKillScore,redDeathScore,redAssistScore,blueExpDiff,blueLvlDiff,blueGoldDiff,blueDrakeDiff,blueBaronDiff,blueHeraldDiff
0,0.0,58307.0,63629.0,71.0,535.0,85.0,57.0,5.0,0.0,1.0,0.0,36.0,50.0,34.0,63044.0,74560.0,78.0,557.0,196.0,100.0,4.0,4.0,0.0,0.0,50.0,36.0,40.0,-10931.0,-7.0,-4737.0,-4.0,0.0,1.0
1,0.0,56482.0,67443.0,74.0,475.0,114.0,60.0,5.0,1.0,0.0,1.0,34.0,20.0,43.0,49801.0,55594.0,65.0,507.0,116.0,62.0,6.0,3.0,1.0,0.0,20.0,34.0,12.0,11849.0,9.0,6681.0,-2.0,1.0,-1.0
2,0.0,58416.0,67637.0,74.0,481.0,166.0,61.0,4.0,2.0,1.0,1.0,41.0,37.0,45.0,60385.0,67831.0,74.0,557.0,166.0,502.0,7.0,3.0,0.0,0.0,37.0,41.0,49.0,-194.0,0.0,-1969.0,-1.0,1.0,1.0
3,0.0,56804.0,65238.0,72.0,538.0,151.0,65.0,6.0,2.0,0.0,1.0,34.0,32.0,42.0,58507.0,67793.0,74.0,481.0,180.0,56.0,6.0,2.0,2.0,0.0,32.0,34.0,49.0,-2555.0,-2.0,-1703.0,0.0,1.0,-2.0
4,1.0,56315.0,67729.0,74.0,566.0,169.0,72.0,4.0,2.0,0.0,0.0,29.0,22.0,38.0,52240.0,59654.0,70.0,589.0,138.0,63.0,7.0,3.0,2.0,0.0,22.0,29.0,25.0,8075.0,4.0,4075.0,-1.0,0.0,-2.0
5,1.0,65237.0,77914.0,78.0,573.0,262.0,45.0,6.0,4.0,0.0,1.0,37.0,39.0,37.0,59994.0,66733.0,75.0,527.0,142.0,119.0,5.0,1.0,1.0,0.0,39.0,37.0,60.0,11181.0,3.0,5243.0,3.0,1.0,-1.0
6,1.0,55576.0,67264.0,73.0,489.0,132.0,64.0,7.0,2.0,1.0,1.0,31.0,33.0,51.0,56616.0,61688.0,70.0,541.0,168.0,183.0,3.0,2.0,1.0,0.0,33.0,31.0,28.0,5576.0,3.0,-1040.0,0.0,1.0,0.0
7,0.0,60316.0,74392.0,78.0,570.0,157.0,73.0,6.0,2.0,1.0,0.0,35.0,31.0,46.0,60522.0,69396.0,73.0,660.0,218.0,74.0,4.0,3.0,1.0,1.0,31.0,35.0,32.0,4996.0,5.0,-206.0,-1.0,-1.0,0.0
8,0.0,58269.0,64131.0,71.0,454.0,121.0,34.0,6.0,1.0,1.0,0.0,42.0,49.0,40.0,57906.0,63599.0,72.0,422.0,92.0,662.0,4.0,2.0,0.0,0.0,49.0,42.0,58.0,532.0,-1.0,363.0,-1.0,0.0,1.0
9,0.0,53324.0,62720.0,71.0,478.0,132.0,43.0,6.0,3.0,2.0,0.0,29.0,43.0,32.0,63356.0,73688.0,76.0,533.0,138.0,117.0,3.0,2.0,0.0,0.0,43.0,29.0,62.0,-10968.0,-5.0,-10032.0,1.0,0.0,2.0
10,0.0,49720.0,61208.0,70.0,562.0,142.0,48.0,3.0,1.0,0.0,0.0,22.0,19.0,16.0,46867.0,59304.0,68.0,524.0,144.0,43.0,3.0,3.0,1.0,0.0,19.0,22.0,24.0,1904.0,2.0,2853.0,-2.0,0.0,-1.0
11,1.0,56881.0,64357.0,72.0,558.0,231.0,44.0,7.0,4.0,1.0,0.0,33.0,26.0,34.0,48954.0,58031.0,68.0,482.0,143.0,57.0,1.0,0.0,0.0,0.0,26.0,33.0,38.0,6326.0,4.0,7927.0,4.0,0.0,1.0
12,1.0,57983.0,62982.0,70.0,483.0,206.0,94.0,8.0,3.0,1.0,0.0,36.0,28.0,37.0,49729.0,59027.0,69.0,498.0,80.0,130.0,0.0,0.0,0.0,0.0,28.0,36.0,36.0,3955.0,1.0,8254.0,3.0,0.0,1.0
13,0.0,52298.0,60061.0,70.0,588.0,211.0,104.0,5.0,3.0,1.0,1.0,16.0,32.0,21.0,54290.0,61380.0,69.0,546.0,117.0,630.0,4.0,2.0,1.0,0.0,32.0,16.0,55.0,-1319.0,1.0,-1992.0,1.0,1.0,0.0
14,0.0,54835.0,60049.0,69.0,360.0,90.0,39.0,6.0,3.0,0.0,0.0,38.0,39.0,56.0,57296.0,60635.0,70.0,357.0,170.0,65.0,3.0,2.0,2.0,0.0,39.0,38.0,52.0,-586.0,-1.0,-2461.0,1.0,0.0,-2.0
15,0.0,52787.0,62540.0,70.0,539.0,76.0,42.0,4.0,0.0,2.0,0.0,28.0,44.0,21.0,63888.0,76366.0,79.0,548.0,176.0,107.0,6.0,3.0,0.0,0.0,44.0,28.0,42.0,-13826.0,-9.0,-11101.0,-3.0,0.0,2.0
16,0.0,61112.0,69453.0,74.0,516.0,173.0,197.0,6.0,2.0,0.0,0.0,41.0,45.0,82.0,69032.0,78111.0,80.0,622.0,183.0,75.0,5.0,3.0,1.0,2.0,45.0,41.0,59.0,-8658.0,-6.0,-7920.0,-1.0,-2.0,-1.0
17,0.0,55613.0,65181.0,73.0,546.0,142.0,41.0,6.0,1.0,0.0,0.0,31.0,46.0,25.0,60623.0,72162.0,77.0,526.0,136.0,112.0,4.0,3.0,1.0,0.0,46.0,31.0,50.0,-6981.0,-4.0,-5010.0,-2.0,0.0,-1.0
18,0.0,62204.0,72277.0,75.0,511.0,180.0,35.0,9.0,2.0,2.0,0.0,43.0,31.0,52.0,55235.0,61732.0,71.0,521.0,127.0,46.0,3.0,2.0,0.0,0.0,31.0,43.0,34.0,10545.0,4.0,6969.0,0.0,0.0,2.0
19,0.0,53961.0,66887.0,73.0,520.0,125.0,164.0,3.0,2.0,0.0,0.0,31.0,37.0,48.0,64104.0,74889.0,78.0,629.0,210.0,74.0,6.0,3.0,2.0,1.0,37.0,31.0,42.0,-8002.0,-5.0,-10143.0,-1.0,-1.0,-2.0
20,0.0,54611.0,63694.0,73.0,504.0,114.0,45.0,4.0,1.0,0.0,0.0,32.0,36.0,41.0,58684.0,66296.0,73.0,511.0,183.0,426.0,3.0,3.0,2.0,0.0,36.0,32.0,40.0,-2602.0,0.0,-4073.0,-2.0,0.0,-2.0
21,0.0,56660.0,61190.0,69.0,476.0,104.0,90.0,5.0,3.0,1.0,0.0,36.0,35.0,46.0,56089.0,62050.0,71.0,441.0,124.0,113.0,2.0,1.0,1.0,1.0,35.0,36.0,48.0,-860.0,-2.0,571.0,2.0,-1.0,0.0
22,1.0,59770.0,73773.0,77.0,627.0,174.0,146.0,5.0,3.0,1.0,0.0,32.0,39.0,48.0,62768.0,76631.0,80.0,609.0,205.0,152.0,6.0,1.0,0.0,1.0,39.0,32.0,40.0,-2858.0,-3.0,-2998.0,2.0,-1.0,1.0
23,1.0,59190.0,69933.0,75.0,566.0,128.0,64.0,6.0,2.0,0.0,0.0,28.0,37.0,42.0,55610.0,63594.0,71.0,512.0,150.0,146.0,4.0,2.0,2.0,0.0,37.0,28.0,50.0,6339.0,4.0,3580.0,0.0,0.0,-2.0
24,1.0,62176.0,76104.0,78.0,523.0,212.0,54.0,7.0,4.0,1.0,1.0,37.0,24.0,40.0,52104.0,59994.0,68.0,599.0,138.0,43.0,2.0,0.0,0.0,0.0,24.0,37.0,26.0,16110.0,10.0,10072.0,4.0,1.0,1.0
25,0.0,59122.0,69597.0,75.0,508.0,71.0,56.0,6.0,0.0,1.0,0.0,41.0,52.0,66.0,65369.0,70549.0,76.0,490.0,205.0,51.0,7.0,4.0,1.0,0.0,52.0,41.0,55.0,-952.0,-1.0,-6247.0,-4.0,0.0,0.0
26,1.0,66043.0,82248.0,83.0,438.0,137.0,66.0,9.0,3.0,1.0,2.0,52.0,41.0,78.0,62887.0,74445.0,78.0,595.0,157.0,80.0,3.0,1.0,1.0,0.0,41.0,52.0,27.0,7803.0,5.0,3156.0,2.0,2.0,0.0
27,0.0,54511.0,66783.0,73.0,512.0,111.0,76.0,5.0,0.0,1.0,0.0,29.0,60.0,38.0,65524.0,76164.0,79.0,445.0,185.0,61.0,3.0,4.0,0.0,0.0,60.0,29.0,77.0,-9381.0,-6.0,-11013.0,-4.0,0.0,1.0
28,0.0,57090.0,63613.0,70.0,491.0,130.0,151.0,5.0,2.0,0.0,0.0,33.0,40.0,40.0,61763.0,70892.0,75.0,475.0,172.0,96.0,5.0,2.0,1.0,0.0,40.0,33.0,50.0,-7279.0,-5.0,-4673.0,0.0,0.0,-1.0
29,1.0,63215.0,68592.0,75.0,585.0,191.0,72.0,10.0,1.0,1.0,1.0,40.0,31.0,46.0,54778.0,66342.0,74.0,563.0,112.0,590.0,1.0,3.0,1.0,0.0,31.0,40.0,42.0,2250.0,1.0,8437.0,-2.0,1.0,0.0
30,0.0,55404.0,70569.0,76.0,661.0,166.0,194.0,4.0,1.0,2.0,0.0,23.0,37.0,33.0,66325.0,79775.0,81.0,639.0,226.0,81.0,7.0,4.0,0.0,1.0,37.0,23.0,52.0,-9206.0,-5.0,-10921.0,-3.0,-1.0,2.0
31,0.0,53637.0,62250.0,71.0,492.0,140.0,56.0,2.0,3.0,1.0,0.0,38.0,42.0,46.0,63716.0,73779.0,78.0,503.0,164.0,175.0,7.0,2.0,1.0,1.0,42.0,38.0,61.0,-11529.0,-7.0,-10079.0,1.0,-1.0,0.0
32,0.0,54689.0,61760.0,70.0,424.0,147.0,49.0,4.0,1.0,1.0,0.0,37.0,34.0,39.0,55382.0,63782.0,71.0,429.0,115.0,45.0,6.0,3.0,0.0,1.0,34.0,37.0,45.0,-2022.0,-1.0,-693.0,-2.0,-1.0,1.0
33,1.0,60172.0,71262.0,76.0,591.0,161.0,109.0,6.0,3.0,0.0,1.0,36.0,27.0,67.0,57745.0,65601.0,73.0,567.0,191.0,73.0,5.0,1.0,1.0,0.0,27.0,36.0,39.0,5661.0,3.0,2427.0,2.0,1.0,-1.0
34,0.0,48604.0,57681.0,68.0,511.0,147.0,59.0,5.0,1.0,0.0,0.0,21.0,32.0,23.0,56262.0,65270.0,73.0,545.0,191.0,74.0,3.0,3.0,1.0,0.0,32.0,21.0,28.0,-7589.0,-5.0,-7658.0,-2.0,0.0,-1.0
35,0.0,61531.0,76386.0,79.0,461.0,100.0,50.0,4.0,1.0,1.0,1.0,44.0,43.0,67.0,62262.0,70071.0,75.0,509.0,122.0,49.0,6.0,4.0,1.0,1.0,43.0,44.0,38.0,6315.0,4.0,-731.0,-3.0,0.0,0.0
