,blueWin,blueGold,blueExp,blueLvl,blueCS,blueJngCS,blueVisionScore,blueTowerScore,blueDrakeScore,blueHeraldScore,blueBaronScore,blueKillScore,blueDeathScore,blueAssistScore,redGold,redExp,redLvl,redCS,redJngCS,redVisionScore,redTowerScore,redDrakeScore,redHeraldScore,redBaronScore,redKillScore,redDeathScore,redAssistScore,blueExpDiff,blueLvlDiff,blueGoldDiff,blueDrakeDiff,blueBaronDiff,blueHeraldDiff
0,0.0,43698.0,47599.0,62.0,457.0,68.0,38.0,3.0,0.0,1.0,0.0,25.0,34.0,17.0,48205.0,58122.0,68.0,477.0,144.0,70.0,1.0,3.0,0.0,0.0,34.0,25.0,24.0,-10523.0,-6.0,-4507.0,-3.0,0.0,1.0
1,0.0,39644.0,44465.0,58.0,404.0,62.0,37.0,2.0,0.0,0.0,0.0,20.0,19.0,22.0,40408.0,45051.0,58.0,428.0,99.0,44.0,5.0,3.0,1.0,0.0,19.0,20.0,11.0,-586.0,0.0,-764.0,-3.0,0.0,-1.0
2,0.0,44539.0,47888.0,61.0,396.0,102.0,41.0,3.0,1.0,1.0,0.0,32.0,28.0,36.0,46312.0,51658.0,64.0,448.0,102.0,447.0,2.0,3.0,0.0,0.0,28.0,32.0,34.0,-3770.0,-3.0,-1773.0,-2.0,0.0,1.0
3,0.0,36477.0,41021.0,56.0,388.0,86.0,57.0,2.0,1.0,1.0,0.0,21.0,22.0,21.0,41100.0,46773.0,60.0,418.0,143.0,89.0,3.0,2.0,0.0,0.0,22.0,21.0,26.0,-5752.0,-4.0,-4623.0,-1.0,0.0,1.0
4,0.0,43634.0,48311.0,62.0,420.0,135.0,46.0,4.0,2.0,0.0,0.0,28.0,21.0,33.0,42470.0,46534.0,59.0,405.0,120.0,38.0,2.0,1.0,2.0,0.0,21.0,28.0,29.0,1777.0,3.0,1164.0,1.0,0.0,-2.0
5,1.0,40485.0,48229.0,61.0,434.0,122.0,50.0,3.0,1.0,0.0,0.0,17.0,18.0,16.0,40564.0,46626.0,61.0,469.0,118.0,40.0,5.0,3.0,2.0,0.0,18.0,17.0,20.0,1603.0,0.0,-79.0,-2.0,0.0,-2.0
6,1.0,46792.0,53891.0,64.0,452.0,180.0,34.0,4.0,2.0,0.0,0.0,22.0,30.0,15.0,47374.0,50087.0,62.0,435.0,128.0,79.0,5.0,1.0,1.0,0.0,30.0,22.0,46.0,3804.0,2.0,-582.0,1.0,0.0,-1.0
7,1.0,39423.0,45501.0,60.0,370.0,97.0,40.0,4.0,2.0,1.0,0.0,17.0,23.0,30.0,44976.0,49350.0,61.0,471.0,128.0,130.0,2.0,1.0,1.0,0.0,23.0,17.0,18.0,-3849.0,-1.0,-5553.0,1.0,0.0,0.0
8,0.0,43579.0,50266.0,62.0,469.0,111.0,48.0,4.0,0.0,1.0,0.0,22.0,22.0,24.0,47194.0,55374.0,66.0,540.0,156.0,53.0,2.0,3.0,1.0,0.0,22.0,22.0,23.0,-5108.0,-4.0,-3615.0,-3.0,0.0,0.0
9,0.0,39777.0,46162.0,61.0,422.0,107.0,42.0,3.0,0.0,1.0,0.0,18.0,30.0,19.0,48429.0,55682.0,66.0,472.0,145.0,94.0,5.0,4.0,1.0,0.0,30.0,18.0,48.0,-9520.0,-5.0,-8652.0,-4.0,0.0,0.0
